name= \My Documents\HR1024_Data\GD4B1.,,,,,name= \My Documents\HR1024_Data\GD4B2.,,,,,name= \My Documents\HR1024_Data\GD4B3.,,,,,name= \My Documents\HR1024_Data\GD4B4.,,,,,
instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,instrument= HR: 1091052,,,,,
integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,integration= 0  0  0  500  60  1,,,,,
scan time= 0  1,,,,,scan time= 0  1,,,,,scan time= 0  1,,,,,scan time= 0  1,,,,,
scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,scan settings=     AD  AI,,,,,
external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,external data set1= 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,,,,,
external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,external data set2= 8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224  8224,,,,,
external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,external data dark= 0 0 0 0 0 0 0 0,,,,,
external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,external data mask= 0,,,,,
optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,optic=   LENS4 ,,,,,
temp= 0.00  0.00  0.00  35.88  8.94  -5.30,,,,,temp= 0.00  0.00  0.00  35.88  8.88  -5.37,,,,,temp= 0.00  0.00  0.00  35.88  8.88  -5.37,,,,,temp= 0.00  0.00  0.00  35.88  8.88  -5.37,,,,,
battery= 0.0  5.2,,,,,battery= 0.0  5.1,,,,,battery= 0.0  5.1,,,,,battery= 0.0  5.0,,,,,
error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,error= 0  0,,,,,
units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,units= Radiance  Radiance,,,,,
time=   2/3/08 10:15:17 AM,,,,,time=   2/3/08 10:15:37 AM,,,,,time=   2/3/08 10:15:58 AM,,,,,time=   2/3/08 10:16:20 AM,,,,,
longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,longitude=   ,,,,,
latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,latitude=   ,,,,,
gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,gpstime=   ,,,,,
comm= ,,,,,comm= ,,,,,comm= ,,,,,comm= ,,,,,
memory slot= 2  0,,,,,memory slot= 2  0,,,,,memory slot= 2  0,,,,,memory slot= 2  0,,,,,
factors= ,,,,,factors= ,,,,,factors= ,,,,,factors= ,,,,,
,,,,,,,,,,,,,,,,,,,,AVERAGE OF INPUT FILES: GD4B1:GD4B2:GD4B3:GD4B4
Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Refer,Target,Reflect,,Wavlen,Avg Refer,Avg Target,Avg Reflect,,
417.4,1.00,171.03,17102.80,,417.4,1.00,157.87,15787.20,,417.4,1.00,-15.18,-1518.00,,417.4,1.00,-166.98,-16698.00,,417.4,1.00,36.69,3668.50,,
418.9,1.00,173.05,17305.20,,418.9,1.00,160.91,16090.80,,418.9,1.00,-6.07,-607.20,,418.9,1.00,-160.91,-16090.80,,418.9,1.00,41.75,4174.50,,
420.4,1.00,169.49,16949.00,,420.4,1.00,170.49,17048.70,,420.4,1.00,-1.00,-99.70,,420.4,1.00,-153.54,-15353.80,,420.4,1.00,46.36,4636.00,,
421.9,1.00,176.18,17617.60,,421.9,1.00,178.11,17811.20,,421.9,1.00,8.71,871.20,,421.9,1.00,-138.42,-13842.40,,421.9,1.00,56.15,5614.50,,
423.5,1.00,184.00,18399.80,,423.5,1.00,176.53,17652.60,,423.5,1.00,20.55,2054.80,,423.5,1.00,-121.42,-12142.00,,423.5,1.00,64.92,6491.50,,
425.0,1.00,184.30,18429.50,,425.0,1.00,183.40,18339.60,,425.0,1.00,35.06,3506.10,,425.0,1.00,-106.98,-10698.10,,425.0,1.00,73.95,7394.50,,
426.5,1.00,194.36,19436.00,,426.5,1.00,184.04,18404.00,,426.5,1.00,48.16,4816.00,,426.5,1.00,-91.16,-9116.00,,426.5,1.00,83.85,8385.00,,
428.0,1.00,203.61,20360.80,,428.0,1.00,193.76,19375.60,,428.0,1.00,55.83,5582.80,,428.0,1.00,-69.79,-6978.50,,428.0,1.00,95.85,9585.25,,
429.5,1.00,210.93,21093.00,,429.5,1.00,203.03,20303.00,,429.5,1.00,65.57,6557.00,,429.5,1.00,-49.77,-4977.00,,429.5,1.00,107.44,10744.00,,
431.1,1.00,218.27,21826.80,,431.1,1.00,209.75,20975.40,,431.1,1.00,78.95,7894.80,,431.1,1.00,-45.67,-4566.60,,431.1,1.00,115.33,11532.50,,
432.6,1.00,227.62,22762.40,,432.6,1.00,218.40,21839.60,,432.6,1.00,86.13,8612.80,,432.6,1.00,-29.99,-2999.10,,432.6,1.00,125.54,12554.00,,
434.1,1.00,226.38,22638.00,,434.1,1.00,224.84,22484.00,,434.1,1.00,94.71,9471.00,,434.1,1.00,-24.64,-2464.00,,434.1,1.00,130.32,13032.25,,
435.6,1.00,239.94,23994.00,,435.6,1.00,229.88,22987.80,,435.6,1.00,101.39,10139.40,,435.6,1.00,-13.16,-1315.80,,435.6,1.00,139.51,13951.25,,
437.1,1.00,242.58,24258.00,,437.1,1.00,242.58,24258.00,,437.1,1.00,108.42,10842.00,,437.1,1.00,-11.70,-1170.00,,437.1,1.00,145.47,14547.00,,
438.6,1.00,255.45,25545.00,,438.6,1.00,246.02,24601.80,,438.6,1.00,113.18,11318.40,,438.6,1.00,-4.72,-471.60,,438.6,1.00,152.48,15248.25,,
440.1,1.00,266.45,26644.80,,440.1,1.00,255.35,25534.60,,440.1,1.00,123.71,12370.80,,440.1,1.00,3.17,317.20,,440.1,1.00,162.17,16217.00,,
441.6,1.00,279.55,27954.90,,441.6,1.00,269.14,26913.60,,441.6,1.00,131.36,13136.40,,441.6,1.00,13.62,1361.70,,441.6,1.00,173.42,17341.75,,
443.1,1.00,291.60,29160.00,,443.1,1.00,281.07,28107.00,,443.1,1.00,140.94,14094.00,,443.1,1.00,24.30,2430.00,,443.1,1.00,184.48,18447.75,,
444.7,1.00,304.14,30414.00,,444.7,1.00,287.70,28770.00,,444.7,1.00,148.78,14878.20,,444.7,1.00,36.99,3699.00,,444.7,1.00,194.40,19440.25,,
446.2,1.00,312.38,31238.20,,446.2,1.00,304.80,30480.40,,446.2,1.00,159.14,15913.80,,446.2,1.00,45.47,4546.80,,446.2,1.00,205.45,20544.75,,
447.7,1.00,333.98,33398.10,,447.7,1.00,324.49,32448.80,,447.7,1.00,170.87,17087.40,,447.7,1.00,54.37,5436.90,,447.7,1.00,220.93,22092.75,,
449.2,1.00,346.46,34646.40,,449.2,1.00,336.96,33696.00,,449.2,1.00,191.81,19180.80,,449.2,1.00,73.44,7344.00,,449.2,1.00,237.17,23716.75,,
450.7,1.00,362.75,36275.20,,450.7,1.00,355.26,35526.40,,450.7,1.00,214.66,21465.60,,450.7,1.00,105.66,10566.40,,450.7,1.00,259.58,25958.25,,
452.2,1.00,385.93,38592.60,,452.2,1.00,374.14,37413.60,,452.2,1.00,242.09,24208.80,,452.2,1.00,146.98,14698.20,,452.2,1.00,287.29,28728.50,,
453.7,1.00,396.34,39634.00,,453.7,1.00,390.38,39038.00,,453.7,1.00,262.24,26224.00,,453.7,1.00,173.59,17358.50,,453.7,1.00,305.64,30563.75,,
455.2,1.00,420.75,42074.80,,455.2,1.00,404.95,40495.20,,455.2,1.00,285.05,28504.60,,455.2,1.00,201.76,20175.80,,455.2,1.00,328.13,32812.75,,
