wavelength,contribution
1488.0,0.02301366152399388
1642.0,0.02301030227595194
1703.0,0.023010096987938104
439.0,0.02301006172211956
445.0,0.023009910587222134
442.0,0.023007431241327377
1487.0,0.02300576603280601
616.0,0.02300533737753425
605.0,0.02300478276892354
438.0,0.023004669691407062
1486.0,0.023004134880552824
617.0,0.023003415359692615
607.0,0.023001958949084786
446.0,0.023001360098708908
618.0,0.023001071825097853
1702.0,0.02299888792041818
1415.0,0.022996594639087566
615.0,0.022995988097225747
1643.0,0.02299583164570749
427.0,0.02299514113932736
606.0,0.022994718333930193
1644.0,0.02299356297822832
609.0,0.022991961334112732
1483.0,0.022990742904813535
1482.0,0.02299074290481353
386.0,0.022989754307132664
1701.0,0.022989717684355006
441.0,0.022989568583730073
610.0,0.022988836999283335
440.0,0.02298718029567164
1484.0,0.022987177641165223
1481.0,0.022986993639200023
437.0,0.022986641053880832
1485.0,0.022985880138030722
1699.0,0.022985479703053244
2488.0,0.02298453141125464
1700.0,0.02298396667560569
608.0,0.02298356047645496
2460.0,0.02298355099011949
614.0,0.02298343276719225
436.0,0.022982867870980618
1645.0,0.022982746366233327
1480.0,0.022982233947358245
612.0,0.022982154053669695
619.0,0.02298133815036143
2441.0,0.02298114173403735
417.0,0.022980686307616932
1698.0,0.02297961399612904
611.0,0.022979185164588176
415.0,0.022977191129501275
1416.0,0.022977005813734908
1646.0,0.022976465581094348
613.0,0.02297644499309533
620.0,0.022975542524898876
414.0,0.022972623886407407
435.0,0.02297213590806182
423.0,0.022967721961179532
1697.0,0.022967721538721834
1479.0,0.022967196047540734
416.0,0.022966612538644435
426.0,0.02296547956609205
1417.0,0.022964756353112615
1696.0,0.022964187473094696
432.0,0.02296389563666817
418.0,0.022963771657576605
1647.0,0.02296292425093463
621.0,0.022962617697096732
1648.0,0.022961587846101854
1418.0,0.022959084236794443
1478.0,0.022958293306458863
434.0,0.022957760933316362
2451.0,0.02295530433938637
1376.0,0.022953047496679382
1419.0,0.02295240159262277
421.0,0.02295206201175985
1695.0,0.022951044584284014
1649.0,0.022950415138723996
646.0,0.022949123475886186
1477.0,0.022947653901274036
622.0,0.02294675240460366
408.0,0.02294550490971899
1475.0,0.02294275630823205
1476.0,0.022942588100835586
1694.0,0.02294123020265042
1420.0,0.022938087832895235
1474.0,0.022936797130077107
425.0,0.02293514397134059
419.0,0.022934775733343446
1693.0,0.0229338041918189
413.0,0.022933451796800636
623.0,0.022933419034345714
433.0,0.02293322210575198
424.0,0.022932580817271845
409.0,0.02293241982930343
1473.0,0.02293231254597175
1421.0,0.022931149432813654
388.0,0.02292956894456231
639.0,0.022929392789924157
1650.0,0.02292849201389261
1472.0,0.022925700392549788
1422.0,0.02292385420635299
1471.0,0.022920162572396492
1423.0,0.022919345766470704
1692.0,0.022918265886628573
1470.0,0.022914921093180177
1651.0,0.022911456777589358
1691.0,0.022904597293259922
1652.0,0.02290355415210263
