WAVELENGTH,PC1,PC2
405,-2.4229663031378674,0.17251277391655967
406,-2.4316099608326587,0.17189512224638914
407,-2.437347449816964,0.1718690965703879
408,-2.444996292185461,0.17059845393445958
409,-2.446203676865815,0.16825796614184924
410,-2.4450668333937515,0.16836802622679922
411,-2.442897641525741,0.1738908245131896
412,-2.4319165784405476,0.17217040215236834
413,-2.419552510255008,0.1684227001459871
414,-2.4148524092255705,0.16977800439686574
415,-2.4139401704658088,0.16781985574761726
416,-2.4131566281986996,0.16605289212500693
417,-2.4078865920536368,0.16764485060804404
418,-2.404826905600215,0.1669565258986631
419,-2.404183417585763,0.16445785712170236
420,-2.4099926266838634,0.15927025394277947
421,-2.4153853746573613,0.16004959070092195
422,-2.419995088314445,0.1644359488783908
423,-2.425932770840191,0.16392878150910703
424,-2.4342031990202377,0.16387385790584988
425,-2.445214779638154,0.16449828241696185
426,-2.4522151628722857,0.16087371771994846
427,-2.4634008089500017,0.160036089514647
428,-2.4785385051984488,0.16182289858044968
429,-2.48923897598005,0.1616967054734232
430,-2.4986644132453475,0.1607666326669721
431,-2.507034263846219,0.15938064158259505
432,-2.51329070469172,0.15823903931000433
433,-2.517522685630104,0.1576456034335641
434,-2.5195458733648226,0.15763500510170583
435,-2.5230342858162453,0.15712696565803397
436,-2.5244182569509506,0.1562942128171016
437,-2.5210924824399026,0.157095156591897
438,-2.5173203242066737,0.15707367678873557
439,-2.5131381568461064,0.15869226931610503
440,-2.5087756817385385,0.1635149311597836
441,-2.501952195205115,0.16663355955800535
442,-2.4933330276791423,0.16940277824770003
443,-2.482759594975365,0.1716382690303619
444,-2.4700210511505376,0.17287883619545
445,-2.455419353049789,0.17474222247448432
446,-2.4361269227752747,0.1784598341760391
447,-2.419099549985985,0.1846751731344629
448,-2.402839550633653,0.19008382006463237
449,-2.386748891641118,0.1916146883583433
450,-2.376048664456297,0.1944860015332404
451,-2.3680298189236444,0.19812507283487868
452,-2.362619819443001,0.20177562746867614
453,-2.3519987299124883,0.20571217622145682
454,-2.3421596974692984,0.20950344710826818
455,-2.3371764393184167,0.21240123886473955
456,-2.3304943067079638,0.21421456956342086
457,-2.3242676987772906,0.21528913082653653
458,-2.319842612302386,0.21640707775174256
459,-2.317600199997585,0.21838375818560649
460,-2.315325355506802,0.22021664184974446
461,-2.3121640964182246,0.22254131281128256
462,-2.309987910344872,0.22260142545261094
463,-2.307957211864364,0.22255625435726714
464,-2.305534035693503,0.22340162399749583
465,-2.3030695418415488,0.22397299327237655
466,-2.300409031336133,0.22503859982262645
467,-2.29739245594067,0.22703853848141334
468,-2.2919403063682786,0.2265315956838777
469,-2.2827248418422563,0.2267396824022441
470,-2.2679246020957007,0.22928509598352764
471,-2.2554690780784803,0.23047089819518718
472,-2.248718483028191,0.2303250691805222
473,-2.253688560382431,0.2274016935980292
474,-2.268067627331897,0.2263062865608196
475,-2.2784253769925855,0.22720464994705364
476,-2.280104598478969,0.23013196958916288
477,-2.2730604153034197,0.23332817562999686
478,-2.2653540805142427,0.23575430773868805
479,-2.2580836252430725,0.23734604504619813
480,-2.2538089266123142,0.23959352088151992
481,-2.249753491451738,0.24183315813394007
482,-2.2464530284098343,0.24420897237207548
483,-2.2399537907912404,0.24496967387622523
484,-2.233516102627453,0.24686844181380183
485,-2.2271844308134705,0.25004443332431536
486,-2.2191067136843445,0.2513573890398352
487,-2.206905719651465,0.2548802937468577
488,-2.192002303026641,0.26013538738230274
489,-2.176051335454506,0.26520592669454235
490,-2.158157810736821,0.269767227211233
491,-2.1380660434545637,0.27455999719607915
492,-2.1133205281567933,0.2799096668793263
493,-2.0873393790541046,0.285698608095041
494,-2.059985989719974,0.2917748564867803
495,-2.0247206755405864,0.2988668299354737
496,-1.9885383688576637,0.30610894196261024
497,-1.9474571036761503,0.3155430317348565
498,-1.9032957508509396,0.3247529572750765
499,-1.8554935069209526,0.33480965678504765
500,-1.804859719486131,0.34569275352535134
501,-1.7495856145689226,0.35580782243422604
502,-1.6883906133886244,0.36619396129928
503,-1.6236827587121616,0.37671091868386103
504,-1.5584604289494814,0.3869441504644257
505,-1.4889171018532374,0.39732037535617476
506,-1.416334875634033,0.4073548663068628
507,-1.3304857252078857,0.42076462044930063
508,-1.2441778746627061,0.43341677487166846
509,-1.155660553734845,0.4457306500402688
510,-1.0634072573291653,0.4576066780912087
511,-0.9642894378959586,0.46943687473592227
512,-0.8641461278685132,0.4807820146083671
513,-0.7659566517835055,0.4910882899911562
514,-0.6674992784407608,0.501006862898902
515,-0.5651108340225238,0.5105625473032411
516,-0.4566040413190307,0.5190861076479392
517,-0.3513039326059093,0.5284505705136555
518,-0.2458749875317598,0.537087955440319
519,-0.1405552693486143,0.5452613851993703
520,-0.03513971864453592,0.5520801846689101
521,0.07163681123020282,0.5582771814756213
522,0.17873815477328522,0.5636327736889754
523,0.27562922726376826,0.5694816667913097
524,0.37337552115787254,0.5743285188966522
525,0.46901379517896097,0.5783002732939141
526,0.5543875677778353,0.5826747372665977
527,0.6322041187266716,0.5854570119342312
528,0.7072611059452122,0.5876975956832501
529,0.7809254723851002,0.5895821782484445
530,0.8466091218683366,0.5919461399002481
531,0.9085698094285154,0.5946765682231728
532,0.9673356756036069,0.5968470058602336
