WAVELENGTH,PC1,PC2
426,-2.060164112249393,-0.048577893236042426
427,-2.0651999642701235,-0.04994860969624525
428,-2.0712178278036135,-0.05050913892875697
429,-2.0741926395702084,-0.0494768571174504
430,-2.0751251970954137,-0.052092052379733154
431,-2.0730621019908124,-0.05727440017038284
432,-2.07551158915976,-0.056966771234637746
433,-2.074994003810401,-0.057355234801595045
434,-2.0707457648213454,-0.06003596390666057
435,-2.067181274406174,-0.061790363668386576
436,-2.063381468743633,-0.06360100856330458
437,-2.059356211715266,-0.06560370799810529
438,-2.0567313990325307,-0.062454124335271796
439,-2.0542105121704872,-0.0613601982992821
440,-2.050357160653075,-0.06402874880022179
441,-2.045950800094766,-0.0648870730245126
442,-2.039934064442267,-0.06534200125386797
443,-2.031255933046774,-0.06634417884661271
444,-2.0214088873309968,-0.06880611668537125
445,-2.0095585957282434,-0.07031667967815833
446,-1.992721896406716,-0.07035695271428138
447,-1.9809107129558166,-0.06935284283878292
448,-1.970825286122647,-0.06888284160576617
449,-1.960657908144827,-0.06922940892704367
450,-1.9546156816179325,-0.0682408309989773
451,-1.949223659635936,-0.0688569672345945
452,-1.942161173400122,-0.07309491397724638
453,-1.9313293310909612,-0.07654329670744747
454,-1.9193786793401453,-0.08071829769982847
455,-1.9067052996394347,-0.08499126860622688
456,-1.892975412628858,-0.08736414136292874
457,-1.8792075972842746,-0.08953306054841556
458,-1.8646715007058694,-0.0930274950207746
459,-1.8501845029749464,-0.09730828736540445
460,-1.8363134830211159,-0.10101912914722694
461,-1.8243062720468093,-0.1044786050261177
462,-1.8100547045476414,-0.10775422776747684
463,-1.7962810297952152,-0.11191613817061966
464,-1.7841418460888852,-0.11561200625419882
465,-1.7705059098731812,-0.11723189109285803
466,-1.7590376697479855,-0.1187212156541567
467,-1.7518239723049533,-0.1208108331053931
468,-1.7406736342238387,-0.12274450126133304
469,-1.7268281131466718,-0.12487371956108352
470,-1.7075001875515903,-0.12603286940029673
471,-1.696600577091833,-0.12194701194079335
472,-1.6939932638715947,-0.11531181065158673
473,-1.7064036566907572,-0.10650660411302922
474,-1.719134486406823,-0.10553934834218719
475,-1.7276085468990208,-0.10912710700161926
476,-1.7293072759632526,-0.11725751509863845
477,-1.7214324099446907,-0.12142458554244631
478,-1.714342579664197,-0.12430359700771224
479,-1.7089321312802344,-0.12684399342227776
480,-1.701613512252781,-0.1261243587571897
481,-1.694134718810354,-0.12606348781113066
482,-1.6868737803496785,-0.1256484878805175
483,-1.6749429244593284,-0.128291827331673
484,-1.6623768458268835,-0.13044877650808834
485,-1.6491953902882588,-0.1325326587151628
486,-1.6312693784271979,-0.13655648954954114
487,-1.610990117087905,-0.14124233421653348
488,-1.5869166745802314,-0.146445271809713
489,-1.5616331909759824,-0.15110972412505325
490,-1.5357212869995687,-0.15638653083007661
491,-1.5087667895780783,-0.16246170630809229
492,-1.4756832662904067,-0.1667822849655857
493,-1.4408486894060333,-0.1714614995045735
